epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97958,1.22813,1.85188,1.37349,0.28262,0.29371,0.19283,0.09996,1.57691,2.83288,1.81475,0.000659574,0.000659574,0.000659574
2,11.2088,1.37283,1.59109,1.47629,0.51687,0.5035,0.45137,0.24097,1.66834,2.60638,2.0632,0.00132495,0.00132495,0.00132495
3,16.3361,1.40371,1.4806,1.49442,0.48954,0.4965,0.46246,0.22073,1.79845,2.7428,1.96027,0.00198513,0.00198513,0.00198513
4,21.5227,1.41937,1.44858,1.51241,0.61366,0.56643,0.58938,0.35026,1.52509,1.71787,1.6142,0.00198246,0.00198246,0.00198246
5,26.7316,1.37484,1.38824,1.489,0.70254,0.56643,0.63071,0.4093,1.42022,1.75916,1.53529,0.0019689,0.0019689,0.0019689
6,31.981,1.36063,1.36972,1.47735,0.7613,0.54545,0.63726,0.38682,1.4507,1.54494,1.56592,0.00195155,0.00195155,0.00195155
7,37.0828,1.30049,1.26898,1.42956,0.80845,0.56643,0.66044,0.41846,1.32662,1.36759,1.45961,0.00193048,0.00193048,0.00193048
8,42.2132,1.2847,1.24067,1.41698,0.85944,0.63636,0.72766,0.48217,1.21008,1.38119,1.41199,0.00190578,0.00190578,0.00190578
9,47.3151,1.24266,1.19343,1.38806,0.8654,0.56643,0.72738,0.48236,1.24372,1.19422,1.40965,0.00187754,0.00187754,0.00187754
10,52.4424,1.24213,1.18165,1.39456,0.87931,0.61143,0.73854,0.49526,1.14335,1.20161,1.30754,0.00184588,0.00184588,0.00184588
11,57.5576,1.21606,1.15419,1.37736,0.81111,0.57056,0.70156,0.4604,1.29205,1.28754,1.46855,0.00181093,0.00181093,0.00181093
12,62.7577,1.16736,1.10924,1.34123,0.82517,0.67133,0.74846,0.5261,1.14223,1.05545,1.36696,0.00177281,0.00177281,0.00177281
13,67.8834,1.16662,1.09464,1.34932,0.75588,0.71455,0.74018,0.50018,1.15869,1.11954,1.32853,0.00173168,0.00173168,0.00173168
14,73.0125,1.15386,1.07982,1.33543,0.81448,0.65734,0.76372,0.51984,1.14722,1.09728,1.33689,0.0016877,0.0016877,0.0016877
15,78.1408,1.15658,1.07295,1.34385,0.78827,0.70629,0.73216,0.51097,1.04926,1.11134,1.27909,0.00164105,0.00164105,0.00164105
16,83.2488,1.12979,1.04567,1.32931,0.78564,0.72727,0.80013,0.57388,1.0127,0.98227,1.29079,0.00159191,0.00159191,0.00159191
17,88.3733,1.10823,1.03226,1.31026,0.80343,0.68599,0.7627,0.53406,1.10279,1.11095,1.30575,0.00154047,0.00154047,0.00154047
18,93.5019,1.1089,1.0058,1.2998,0.78889,0.73427,0.78869,0.56871,1.04831,0.97387,1.28912,0.00148694,0.00148694,0.00148694
19,98.6821,1.07515,0.97985,1.29221,0.82044,0.68531,0.80001,0.58226,1.02203,0.91864,1.24904,0.00143152,0.00143152,0.00143152
20,103.791,1.07552,0.9566,1.28916,0.93449,0.68531,0.82294,0.60432,0.98726,0.91209,1.22599,0.00137444,0.00137444,0.00137444
21,108.921,1.07656,0.96333,1.28325,0.9122,0.7265,0.80566,0.58701,1.00575,0.88987,1.25657,0.00131593,0.00131593,0.00131593
22,114.036,1.0519,0.93809,1.27001,0.88319,0.6874,0.80947,0.58244,1.0064,0.98506,1.26324,0.0012562,0.0012562,0.0012562
23,119.156,1.0407,0.90775,1.26473,0.93688,0.74126,0.82347,0.58294,0.99398,0.82011,1.25343,0.00119551,0.00119551,0.00119551
24,124.302,1.05406,0.94049,1.26921,0.93962,0.70629,0.82846,0.60323,0.9859,0.84785,1.23937,0.00113408,0.00113408,0.00113408
25,129.429,1.00918,0.8991,1.24642,0.88008,0.72727,0.83143,0.63657,0.89955,0.8298,1.16557,0.00107216,0.00107216,0.00107216
26,134.65,1.01954,0.89347,1.2502,0.9073,0.73427,0.82333,0.58921,0.96692,0.84746,1.22527,0.00101,0.00101,0.00101
27,139.753,1.01141,0.89246,1.24821,0.9315,0.76077,0.82914,0.59716,0.94859,0.80458,1.22216,0.000947837,0.000947837,0.000947837
28,144.878,0.98493,0.86183,1.23872,0.90673,0.74786,0.84007,0.61865,0.9728,0.83961,1.23705,0.00088592,0.00088592,0.00088592
29,149.982,0.98471,0.8363,1.22534,0.9049,0.73197,0.84588,0.62728,0.94419,0.771,1.20789,0.000824492,0.000824492,0.000824492
30,155.099,0.96958,0.83298,1.22713,0.90454,0.76923,0.84948,0.65599,0.89828,0.75994,1.18621,0.000763797,0.000763797,0.000763797
31,160.246,0.96518,0.83275,1.21316,0.88265,0.79021,0.86188,0.6546,0.85767,0.71674,1.17038,0.000704073,0.000704073,0.000704073
32,165.351,0.94248,0.8036,1.1987,0.90174,0.77011,0.86204,0.65149,0.87507,0.75515,1.17472,0.000645557,0.000645557,0.000645557
33,170.538,0.94692,0.80831,1.20369,0.88528,0.76224,0.85727,0.64538,0.86246,0.74143,1.15786,0.000588479,0.000588479,0.000588479
34,175.654,0.92239,0.78783,1.19205,0.91445,0.74748,0.85568,0.66473,0.85509,0.73225,1.15387,0.000533064,0.000533064,0.000533064
35,180.787,0.92694,0.78389,1.19352,0.92997,0.74295,0.85385,0.6442,0.90691,0.75762,1.19804,0.000479531,0.000479531,0.000479531
36,185.906,0.92695,0.76792,1.1877,0.86885,0.79021,0.8611,0.65055,0.87404,0.69026,1.16964,0.000428093,0.000428093,0.000428093
37,191.041,0.89504,0.75091,1.17711,0.93902,0.75379,0.87323,0.6719,0.87213,0.69402,1.14983,0.00037895,0.00037895,0.00037895
38,196.171,0.90116,0.74213,1.17397,0.90086,0.76251,0.85985,0.65848,0.84798,0.68793,1.1581,0.000332298,0.000332298,0.000332298
39,201.3,0.87681,0.7232,1.16168,0.87807,0.80577,0.8812,0.6656,0.86999,0.64061,1.17096,0.000288321,0.000288321,0.000288321
40,206.492,0.8783,0.73279,1.17161,0.94443,0.75524,0.87131,0.66044,0.86871,0.66673,1.15966,0.000247192,0.000247192,0.000247192
41,211.9,0.79997,0.64055,1.12336,0.92487,0.77476,0.88177,0.67641,0.8339,0.63775,1.13863,0.000209073,0.000209073,0.000209073
42,216.913,0.77814,0.59669,1.10714,0.92937,0.77622,0.87252,0.67283,0.82659,0.63225,1.13505,0.000174115,0.000174115,0.000174115
43,221.919,0.77305,0.58431,1.10369,0.95618,0.76293,0.87603,0.6666,0.85571,0.62663,1.16041,0.000142456,0.000142456,0.000142456
44,226.914,0.75898,0.58012,1.1008,0.90421,0.7972,0.87916,0.67373,0.83979,0.63109,1.14608,0.000114221,0.000114221,0.000114221
45,231.889,0.76015,0.56828,1.09044,0.93212,0.76818,0.87413,0.67546,0.84296,0.62448,1.15951,8.95213e-05,8.95213e-05,8.95213e-05
46,236.871,0.74658,0.56523,1.08476,0.94958,0.79017,0.88122,0.67951,0.83729,0.62549,1.15138,6.8454e-05,6.8454e-05,6.8454e-05
47,241.915,0.7437,0.56394,1.08269,0.94377,0.78322,0.88423,0.68179,0.83775,0.61649,1.14946,5.11027e-05,5.11027e-05,5.11027e-05
48,246.902,0.73979,0.55463,1.08046,0.94914,0.78296,0.87963,0.68557,0.81672,0.62197,1.13789,3.75356e-05,3.75356e-05,3.75356e-05
49,251.977,0.74581,0.55677,1.08881,0.92698,0.79893,0.87948,0.68305,0.83834,0.60802,1.15139,2.78064e-05,2.78064e-05,2.78064e-05
50,257.025,0.74114,0.55655,1.08392,0.94622,0.7972,0.88177,0.67973,0.8409,0.60956,1.15657,2.19535e-05,2.19535e-05,2.19535e-05
