epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.425,1.23327,1.8361,1.36778,0.30837,0.29371,0.24555,0.13246,1.46702,2.53627,1.69325,0.000659574,0.000659574,0.000659574
2,913.52,1.42189,1.63502,1.49746,0.39701,0.09091,0.07817,0.03967,1.78867,2.46402,1.92455,0.00132495,0.00132495,0.00132495
3,1408.12,1.45548,1.55563,1.52126,0.28037,0.21678,0.13739,0.08165,1.65093,2.50576,1.87171,0.00198513,0.00198513,0.00198513
4,1815.52,1.44529,1.4993,1.53056,0.35543,0.16783,0.15164,0.0822,1.67141,2.2308,1.74072,0.00198246,0.00198246,0.00198246
5,2306.88,1.39861,1.40714,1.49421,0.63874,0.18182,0.16787,0.09841,1.47486,1.62595,1.62257,0.0019689,0.0019689,0.0019689
6,2759.56,1.36338,1.38356,1.47522,0.51846,0.13986,0.13931,0.08067,1.37019,2.06647,1.50219,0.00195155,0.00195155,0.00195155
7,3225.39,1.34987,1.35045,1.46826,0.63977,0.18182,0.19143,0.12926,1.24486,1.34537,1.42255,0.00193048,0.00193048,0.00193048
8,3694.72,1.29481,1.2847,1.42627,0.54883,0.18182,0.17424,0.11105,1.20568,1.43961,1.40513,0.00190578,0.00190578,0.00190578
9,4295.11,1.26286,1.23882,1.40462,0.61052,0.1958,0.20777,0.12754,1.23168,1.25567,1.41597,0.00187754,0.00187754,0.00187754
10,4765.83,1.24678,1.2113,1.39905,0.60979,0.18881,0.19691,0.13198,1.1167,1.20044,1.35121,0.00184588,0.00184588,0.00184588
11,5324.86,1.25723,1.20607,1.39715,0.4626,0.13986,0.14795,0.10172,1.1233,1.23253,1.33005,0.00181093,0.00181093,0.00181093
