epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23647,3.44277,3.02134,3.8334,0,0,0,0,4.17014,3.65867,4.29718,0.000659574,0.000659574,0.000659574
2,9.66663,2.67658,2.46856,2.91572,0.22929,0.1935,0.13127,0.04191,2.43055,3.2195,2.81626,0.00132495,0.00132495,0.00132495
3,13.98,2.33278,2.20477,2.52707,0.50929,0.27273,0.2807,0.10494,2.42345,2.35733,2.65032,0.00198513,0.00198513,0.00198513
4,18.5096,2.12135,2.00843,2.31686,0.40642,0.36869,0.30827,0.10925,2.14383,2.51258,2.38518,0.00198246,0.00198246,0.00198246
5,23.025,2.01934,1.90728,2.19151,0.5642,0.28974,0.31866,0.12226,2.33846,2.22909,2.41905,0.0019689,0.0019689,0.0019689
6,27.7026,1.9125,1.80223,2.06632,0.70518,0.38462,0.46609,0.21613,1.95045,1.96962,2.11166,0.00195155,0.00195155,0.00195155
7,32.2607,1.81436,1.68908,1.97901,0.68716,0.41958,0.47488,0.22089,1.92652,1.81923,2.04784,0.00193048,0.00193048,0.00193048
8,36.827,1.78515,1.66235,1.94647,0.51649,0.37762,0.40041,0.18713,1.98746,2.03544,2.03084,0.00190578,0.00190578,0.00190578
9,41.3684,1.73892,1.607,1.89334,0.61809,0.46154,0.48432,0.25622,1.81119,1.78032,1.98344,0.00187754,0.00187754,0.00187754
10,45.9478,1.67938,1.5355,1.84332,0.60968,0.40559,0.44772,0.22187,1.87638,1.91016,1.95887,0.00184588,0.00184588,0.00184588
11,50.5225,1.63147,1.4927,1.80917,0.63834,0.46904,0.55125,0.32241,1.6067,1.64077,1.75267,0.00181093,0.00181093,0.00181093
12,55.0932,1.6062,1.4608,1.76393,0.64465,0.55821,0.58804,0.33074,1.58405,1.56441,1.76407,0.00177281,0.00177281,0.00177281
13,59.6587,1.56848,1.41933,1.74933,0.69892,0.4965,0.57318,0.334,1.59634,1.56311,1.80695,0.00173168,0.00173168,0.00173168
14,64.1754,1.52422,1.4045,1.71762,0.73263,0.51748,0.589,0.32991,1.55502,1.5842,1.73486,0.0016877,0.0016877,0.0016877
15,68.7641,1.52519,1.37871,1.7189,0.74553,0.54545,0.61966,0.36036,1.53398,1.48564,1.68045,0.00164105,0.00164105,0.00164105
16,73.3973,1.50272,1.34678,1.68602,0.71185,0.57012,0.62389,0.3663,1.51439,1.4402,1.63286,0.00159191,0.00159191,0.00159191
17,77.9998,1.45859,1.31884,1.66207,0.79179,0.55245,0.63552,0.38478,1.42861,1.39843,1.6329,0.00154047,0.00154047,0.00154047
18,82.5503,1.4583,1.29387,1.65461,0.71599,0.60839,0.66615,0.40687,1.40728,1.27373,1.62983,0.00148694,0.00148694,0.00148694
19,87.1571,1.40672,1.25979,1.61018,0.77543,0.57951,0.66996,0.41808,1.44006,1.29055,1.60919,0.00143152,0.00143152,0.00143152
20,91.7713,1.41479,1.24981,1.61817,0.78057,0.56643,0.66127,0.4383,1.34187,1.29203,1.56213,0.00137444,0.00137444,0.00137444
21,96.312,1.39371,1.23672,1.59843,0.72072,0.55944,0.62849,0.40063,1.45877,1.37464,1.60491,0.00131593,0.00131593,0.00131593
22,100.88,1.36556,1.22834,1.58472,0.81699,0.56643,0.65777,0.42917,1.35484,1.33534,1.52641,0.0012562,0.0012562,0.0012562
23,105.449,1.354,1.19215,1.57161,0.78251,0.62901,0.68293,0.43678,1.34232,1.28778,1.53085,0.00119551,0.00119551,0.00119551
24,110.081,1.36093,1.2078,1.57246,0.70198,0.62594,0.66308,0.41744,1.37175,1.26093,1.55761,0.00113408,0.00113408,0.00113408
25,114.655,1.32764,1.16936,1.5547,0.79968,0.58627,0.67231,0.4401,1.35453,1.20279,1.51102,0.00107216,0.00107216,0.00107216
26,119.179,1.33224,1.15567,1.54946,0.76502,0.60839,0.69818,0.46768,1.26976,1.12612,1.47445,0.00101,0.00101,0.00101
27,123.727,1.31846,1.15297,1.53845,0.73225,0.60839,0.68152,0.44231,1.34198,1.21368,1.5624,0.000947837,0.000947837,0.000947837
28,128.226,1.28825,1.1293,1.52715,0.8038,0.60839,0.69992,0.46167,1.30531,1.17003,1.49318,0.00088592,0.00088592,0.00088592
29,132.901,1.28184,1.1088,1.51514,0.81872,0.63165,0.71683,0.47778,1.29015,1.10962,1.4969,0.000824492,0.000824492,0.000824492
30,137.365,1.27892,1.09533,1.50911,0.83216,0.64336,0.7186,0.47363,1.30355,1.19288,1.49702,0.000763797,0.000763797,0.000763797
31,141.996,1.27925,1.10352,1.50554,0.85583,0.58741,0.69455,0.47347,1.18496,1.08692,1.42478,0.000704073,0.000704073,0.000704073
32,146.552,1.25019,1.07603,1.48881,0.86066,0.64793,0.74283,0.49664,1.22689,1.03889,1.46175,0.000645557,0.000645557,0.000645557
33,151.11,1.24285,1.07248,1.48994,0.84709,0.66434,0.73385,0.50363,1.20423,1.02,1.41424,0.000588479,0.000588479,0.000588479
34,155.653,1.21752,1.03831,1.46577,0.91466,0.65734,0.7545,0.51187,1.20945,1.02626,1.43577,0.000533064,0.000533064,0.000533064
35,160.192,1.21268,1.03761,1.46775,0.8415,0.66829,0.73761,0.50832,1.20964,1.00943,1.45872,0.000479531,0.000479531,0.000479531
36,164.831,1.22214,1.02276,1.46794,0.89894,0.67133,0.76518,0.52553,1.17478,0.95683,1.40629,0.000428093,0.000428093,0.000428093
37,169.411,1.19125,1.0215,1.4501,0.89329,0.64392,0.76593,0.52587,1.15387,0.98904,1.39592,0.00037895,0.00037895,0.00037895
38,173.975,1.18184,0.99935,1.44475,0.84398,0.6809,0.7368,0.49866,1.19658,1.04982,1.43453,0.000332298,0.000332298,0.000332298
